departamento,Seccion,Familia,SubFamilia,marca,linea,Referencia,CodBarras,descripcion Completa,descripcion 40 caracteres,Usa Lote,Principio Activo,cod_prov,Proveedor
MEDICAMENTOS,TABLETAS,,,LAND,,7598008000109,,ALBENDAZOL 200MG (1 BLISTER) X 10 TABLETAS LAND,ALBENDAZOL 200MG (1 BLISTER)X10 TAB LAND,T,ALBENDAZOL,00081,"CASA DE REPRESENTACION LAND,C.A"
MEDICAMENTOS,TABLETAS,,,LAND,,7598008000151,,AMOXICILINA 500MG X 10TAB LAND,AMOXICILINA 500MG X10CAP (LAND),T,AMOXICILINA,00082,"CASA DE REPRESENTACION LAND,C.A"
MEDICAMENTOS,TABLETAS,,,LAND,,7598008000168,,ATENOLOL 25MG X 10TAB LAND,ATENOLOL 25MG X 10 TAB (LAND),T,ATENOLOL,00083,"CASA DE REPRESENTACION LAND,C.A"
MEDICAMENTOS,TABLETAS,,,LAND,,7598008000175,,ATENOLOL 50MG X 10TAB LAND,ATENOLOL 50MG X 10TAB LAND,T,ATENOLOL,5207004,"CASA DE REPRESENTACION LAND,C.A"
MEDICAMENTOS,TABLETAS,,,LAND,,7598008000427,,GLIMEPIRIDE 2MG X 10TAB LAND,GLIMEPIRIDE 2MG X 10 TABLETAS (LAND),T,GLIMEPIRIDE,00085,"CASA DE REPRESENTACION LAND,C.A"
MEDICAMENTOS,TABLETAS,,,LAND,,7598008000434,,GLIMEPIRIDE 4MG X 10TAB LAND,GLIMEPIRIDE 4 MG X 10 TABLETAS (LAND),T,GLIMEPIRIDE,00086,"CASA DE REPRESENTACION LAND,C.A"
MEDICAMENTOS,MMQ,,,GROSSMED,,7597830003514,,GUANTES DE NITRILO TALLA L COLOR NEGRO X 100UND GROSSMED,GUANTES D NITRILO T-L NEG X100(GROSSMED),T,GUANTES DE NITRILO,,"FARMATECH MEDICAL, C.A"
MEDICAMENTOS,AMPOLLAS Y SOLUCIONES,,,GLOBAL MEDIC,,756058829963,,DEXAMETASONA 8MG/2ML IM/IV X 1 AMP GLOBAL MEDIC,DEXAMETASONA 8MG/2ML IM/IVX1 AMP ,T,DEXAMETASONA,,"CASA DE REPRESENTACION GLOBAL MEDIC, C.A"
MEDICAMENTOS,AMPOLLAS Y SOLUCIONES,,,GLOBAL MEDIC,,736372230249,,CIPROFLOXACIONA 200MG/100ML I.V X 1 AMP GLOBAL MEDIC,CIPROFLOXACIONA 200MG/100ML GLOBAL MEDIC,T,CIPROFLOXACIONA,00091,"CASA DE REPRESENTACION GLOBAL MEDIC, C.A"
MEDICAMENTOS,TABLETAS,,,LAND,,7598008000182,,ATORVASTATINA 20MG X 10TAB LAND,ATORVASTATINA CALCICA 20MG X10 TAB(LAND),T,ATORVASTATINA,00092,"CASA DE REPRESENTACION LAND,C.A"
MEDICAMENTOS,TABLETAS,,,LAND,,7598008000243,,CARBAMAZEPINA 400 MG  X 10 TAB LAND,CARBAMAZEPINA 400MG X 10TAB  LAND,T,CARBAMAZEPINA,00093,"CASA DE REPRESENTACION LAND,C.A"
MEDICAMENTOS,TABLETAS,,,LAND,,7598008000601,,OMEPRAZOL 20MG  X 10TAB LAND,OMEPRAZOL 20MG  X 10TAB LAND,T,OMEPRAZOL,,"CASA DE REPRESENTACION LAND,C.A"
MEDICAMENTOS,MMQ,,,3M,,75984,,NEBULIZADOR COMPRESOR HY-Q03 MEDICLIFE,NEBULIZADOR COMPRESOR HY-Q03 MEDICLIFE,T,NEBULIZADOR,00095,"LEONELLA NATALI CONTRERAS BOUTTO (PUNTOMEDIC L&C CONTRERAS, F.P)"
MEDICAMENTOS,GOTAS,,,LAND,,7598008000830,,CIPROFLOXACINA 0.3% GOTAS OFTALMICA X 5ML LAND,CIPROFLOXACINA SOL OFTALMICA 5ML LAND,T,CIPROFLOXACINA,,"CASA DE REPRESENTACION LAND,C.A"
MEDICAMENTOS,TABLETAS,,,GENERICO DE CALIDAD,,7592349002188,,LOSARTAN POTASICO 50MG X 30TAB GENERICO DE CALIDAD,LOSARTAN POTASICO 50MG X 30TAB ,T,LOSARTAN POTASICO,00098,"LABORATORIOS VARGAS, S.A"
